step,month,year,USI,Gini,S_R,Trust,active_shocks,city,scenario
1,1,1,0.9275,0.0087,0.9708,0.748,[],Belagavi,exp6_combined
2,2,1,0.9391,0.0087,0.9708,0.7943,[],Belagavi,exp6_combined
3,3,1,0.9272,0.0032,0.9916,0.7206,['drought'],Belagavi,exp6_combined
4,4,1,0.9138,0.0032,0.9916,0.6669,"['drought', 'economic_crisis']",Belagavi,exp6_combined
5,5,1,0.9254,0.0032,0.9916,0.7133,"['drought', 'economic_crisis']",Belagavi,exp6_combined
6,6,1,0.937,0.0032,0.9916,0.7597,"['drought', 'economic_crisis']",Belagavi,exp6_combined
7,7,1,0.9236,0.0032,0.9916,0.7061,"['drought', 'flood']",Belagavi,exp6_combined
8,8,1,0.9352,0.0032,0.9916,0.7525,['flood'],Belagavi,exp6_combined
9,9,1,0.9468,0.0032,0.9916,0.7988,['flood'],Belagavi,exp6_combined
10,10,1,0.951,0.0087,0.9708,0.8422,[],Belagavi,exp6_combined
11,11,1,0.9602,0.0087,0.9708,0.8788,[],Belagavi,exp6_combined
12,12,1,0.9676,0.0087,0.9708,0.9085,[],Belagavi,exp6_combined
13,1,2,0.9738,0.0087,0.9708,0.9332,[],Belagavi,exp6_combined
14,2,2,0.9793,0.0087,0.9708,0.9553,[],Belagavi,exp6_combined
15,3,2,0.9675,0.0032,0.9916,0.8816,['drought'],Belagavi,exp6_combined
16,4,2,0.954,0.0032,0.9916,0.8279,"['drought', 'economic_crisis']",Belagavi,exp6_combined
17,5,2,0.9656,0.0032,0.9916,0.874,"['drought', 'economic_crisis']",Belagavi,exp6_combined
18,6,2,0.9747,0.0032,0.9916,0.9104,"['drought', 'economic_crisis']",Belagavi,exp6_combined
19,7,2,0.9613,0.0032,0.9916,0.8568,"['drought', 'flood']",Belagavi,exp6_combined
20,8,2,0.9714,0.0032,0.9916,0.8974,['flood'],Belagavi,exp6_combined
21,9,2,0.9782,0.0032,0.9916,0.9243,['flood'],Belagavi,exp6_combined
22,10,2,0.9773,0.0087,0.9708,0.9473,[],Belagavi,exp6_combined
23,11,2,0.9826,0.0087,0.9708,0.9682,[],Belagavi,exp6_combined
24,12,2,0.9869,0.0087,0.9708,0.9857,[],Belagavi,exp6_combined
