step,month,year,USI,Gini,S_R,Trust,active_shocks,city,scenario
21,9,2,0.7679,0.0068,0.9515,0.1273,['flood'],Mangaluru,exp5a_shock_nopolicy
22,10,2,0.7747,0.0108,0.9731,0.1372,['flood'],Mangaluru,exp5a_shock_nopolicy
23,11,2,0.7711,0.0103,0.948,0.1472,[],Mangaluru,exp5a_shock_nopolicy
24,12,2,0.7739,0.0104,0.9486,0.1573,[],Mangaluru,exp5a_shock_nopolicy
1,1,1,0.9199,0.01,0.9738,0.7159,[],Hubballi-Dharwad,exp5a_shock_nopolicy
2,2,1,0.9235,0.01,0.9738,0.7301,[],Hubballi-Dharwad,exp5a_shock_nopolicy
3,3,1,0.8115,0.0098,0.7049,0.5509,['drought'],Hubballi-Dharwad,exp5a_shock_nopolicy
4,4,1,0.7771,0.0098,0.7179,0.4032,"['drought', 'economic_crisis']",Hubballi-Dharwad,exp5a_shock_nopolicy
5,5,1,0.7753,0.0105,0.7386,0.3773,"['drought', 'economic_crisis']",Hubballi-Dharwad,exp5a_shock_nopolicy
6,6,1,0.8411,0.0059,0.985,0.3899,"['drought', 'economic_crisis']",Hubballi-Dharwad,exp5a_shock_nopolicy
7,7,1,0.8074,0.0057,0.9856,0.2528,"['drought', 'flood']",Hubballi-Dharwad,exp5a_shock_nopolicy
8,8,1,0.8086,0.0082,0.9791,0.2641,['flood'],Hubballi-Dharwad,exp5a_shock_nopolicy
9,9,1,0.8116,0.0079,0.9796,0.2756,['flood'],Hubballi-Dharwad,exp5a_shock_nopolicy
10,10,1,0.8085,0.0104,0.9576,0.2871,[],Hubballi-Dharwad,exp5a_shock_nopolicy
11,11,1,0.8117,0.0105,0.9584,0.2989,[],Hubballi-Dharwad,exp5a_shock_nopolicy
12,12,1,0.8149,0.0105,0.9592,0.3107,[],Hubballi-Dharwad,exp5a_shock_nopolicy
13,1,2,0.818,0.0105,0.96,0.3227,[],Hubballi-Dharwad,exp5a_shock_nopolicy
14,2,2,0.8213,0.0105,0.9608,0.3348,[],Hubballi-Dharwad,exp5a_shock_nopolicy
15,3,2,0.71,0.0103,0.6963,0.1539,['drought'],Hubballi-Dharwad,exp5a_shock_nopolicy
16,4,2,0.6746,0.0101,0.7003,0.0098,"['drought', 'economic_crisis']",Hubballi-Dharwad,exp5a_shock_nopolicy
17,5,2,0.6764,0.0096,0.7189,0.0004,"['drought', 'economic_crisis']",Hubballi-Dharwad,exp5a_shock_nopolicy
18,6,2,0.7422,0.0099,0.9653,0.0177,"['drought', 'economic_crisis']",Hubballi-Dharwad,exp5a_shock_nopolicy
19,7,2,0.7428,0.0099,0.9665,0.0177,"['drought', 'flood']",Hubballi-Dharwad,exp5a_shock_nopolicy
20,8,2,0.7455,0.0099,0.9665,0.0265,['flood'],Hubballi-Dharwad,exp5a_shock_nopolicy
21,9,2,0.7478,0.0101,0.967,0.0354,['flood'],Hubballi-Dharwad,exp5a_shock_nopolicy
22,10,2,0.744,0.0097,0.942,0.0444,[],Hubballi-Dharwad,exp5a_shock_nopolicy
23,11,2,0.7466,0.0098,0.9425,0.0535,[],Hubballi-Dharwad,exp5a_shock_nopolicy
24,12,2,0.749,0.0098,0.9431,0.0628,[],Hubballi-Dharwad,exp5a_shock_nopolicy
1,1,1,0.9199,0.01,0.9738,0.7159,[],Belagavi,exp5a_shock_nopolicy
2,2,1,0.9235,0.01,0.9738,0.7301,[],Belagavi,exp5a_shock_nopolicy
3,3,1,0.9031,0.0032,0.9915,0.6243,['drought'],Belagavi,exp5a_shock_nopolicy
4,4,1,0.8817,0.0032,0.9915,0.5385,"['drought', 'economic_crisis']",Belagavi,exp5a_shock_nopolicy
5,5,1,0.8852,0.0032,0.9915,0.5527,"['drought', 'economic_crisis']",Belagavi,exp5a_shock_nopolicy
6,6,1,0.8887,0.0032,0.9915,0.5668,"['drought', 'economic_crisis']",Belagavi,exp5a_shock_nopolicy
7,7,1,0.8673,0.0032,0.9915,0.481,"['drought', 'flood']",Belagavi,exp5a_shock_nopolicy
8,8,1,0.8702,0.004,0.99,0.495,['flood'],Belagavi,exp5a_shock_nopolicy
9,9,1,0.874,0.0037,0.9907,0.509,['flood'],Belagavi,exp5a_shock_nopolicy
10,10,1,0.8716,0.0102,0.9735,0.5232,[],Belagavi,exp5a_shock_nopolicy
11,11,1,0.8752,0.0101,0.9738,0.5373,[],Belagavi,exp5a_shock_nopolicy
12,12,1,0.8788,0.01,0.9738,0.5515,[],Belagavi,exp5a_shock_nopolicy
13,1,2,0.8824,0.01,0.9738,0.5657,[],Belagavi,exp5a_shock_nopolicy
14,2,2,0.8859,0.01,0.9738,0.5799,[],Belagavi,exp5a_shock_nopolicy
15,3,2,0.8656,0.0032,0.9915,0.474,['drought'],Belagavi,exp5a_shock_nopolicy
16,4,2,0.8433,0.0041,0.9895,0.3879,"['drought', 'economic_crisis']",Belagavi,exp5a_shock_nopolicy
17,5,2,0.845,0.0057,0.9853,0.4008,"['drought', 'economic_crisis']",Belagavi,exp5a_shock_nopolicy
18,6,2,0.8485,0.0055,0.9859,0.4138,"['drought', 'economic_crisis']",Belagavi,exp5a_shock_nopolicy
19,7,2,0.827,0.0052,0.9865,0.327,"['drought', 'flood']",Belagavi,exp5a_shock_nopolicy
20,8,2,0.8286,0.0068,0.9823,0.3392,['flood'],Belagavi,exp5a_shock_nopolicy
21,9,2,0.8319,0.0066,0.9829,0.3515,['flood'],Belagavi,exp5a_shock_nopolicy
22,10,2,0.829,0.0106,0.9628,0.364,[],Belagavi,exp5a_shock_nopolicy
23,11,2,0.8324,0.0107,0.9637,0.3766,[],Belagavi,exp5a_shock_nopolicy
24,12,2,0.8358,0.0107,0.9646,0.3893,[],Belagavi,exp5a_shock_nopolicy
